"283","명사","001"
"284","명사","002"
"285","부사","001"
"286","부사","001"
"287","명사","001"
"288","부사","001"
"289","명사","001"
"290","명사","002"
"291","명사","001"
"292","명사","001"
"293","명사","001"
"294","명사","002"
"295","명사","001"
"296","명사","002"
"297","명사","001"
"298","명사","001"
"299","명사","001"
"300","명사","001"
"301","명사","001"
"302","명사","001"
"303","명사","001"
"304","명사","001"
"305","명사","001"
"306","명사","001"
"307","명사","001"
"308","명사","001"
"309","명사","001"
"310","명사","001"
"311","명사","001"
"312","명사","001"
"313","명사","002"
"314","명사","001"
"315","명사","001"
"316","명사","001"
"317","명사","001"
"318","동사","001"
"319","명사","001"
"320","명사","001"
"321","명사","001"
"322","명사","001"
"323","동사","001"
"324","명사","001"
"325","명사","001"
"326","명사","001"
"327","명사","001"
"328","동사","001"
"329","명사","001"
"330","품사 없음","001"
"331","명사","001"
"332","명사","001"
"333","명사","001"
"334","명사","001"
"335","명사","001"
"336","명사","001"
"337","명사","001"
"338","명사","001"
"339","명사","004"
"340","의존 명사","003"
"341","명사","001"
"342","명사","002"
"343","명사","005"
"344","품사 없음","001"
"345","품사 없음","001"
"346","품사 없음","001"
"347","품사 없음","001"
"348","명사","001"
"349","명사","001"
"350","명사","001"
"351","명사","001"
"352","명사","001"
"353","명사","001"
"354","명사","001"
"355","명사","001"
"356","명사","001"
"357","명사","001"
"358","명사","001"
"359","명사","001"
"360","명사","001"
"361","명사","002"
"362","명사","001"
"363","명사","001"
"364","명사","001"
"365","명사","001"
"366","명사","001"
"367","명사","001"
"368","명사","001"
"369","명사","001"
"370","명사","001"
"371","명사","001"
"372","명사","001"
"373","명사","001"
"374","명사","001"
"375","명사","001"
"376","명사","001"
"377","명사","001"
"378","명사","001"
"379","명사","001"
"380","명사","001"
"381","명사","001"
"382","명사","001"
"383","명사","001"
"384","명사","001"
"385","명사","001"
"386","명사","001"
"387","명사","001"
"388","명사","001"
"389","명사","001"
"390","명사","001"
"391","명사","001"
"392","명사","001"
"393","명사","001"
"394","명사","001"
"395","품사 없음","001"
"396","품사 없음","001"
"397","품사 없음","001"
"398","품사 없음","001"
"399","품사 없음","001"
"400","품사 없음","001"
"401","품사 없음","001"
"402","품사 없음","001"
"403","품사 없음","001"
"404","품사 없음","001"
"405","품사 없음","001"
"406","품사 없음","001"
"407","품사 없음","001"
"408","품사 없음","001"
"409","품사 없음","001"
"410","품사 없음","001"
"411","품사 없음","001"
"412","품사 없음","001"
"413","품사 없음","001"
"414","품사 없음","001"
"415","명사","001"
"416","명사","001"
"417","명사","001"
"418","명사","001"
"419","명사","001"
"420","명사","001"
"421","명사","001"
"422","명사","001"
"423","명사","001"
"424","명사","001"
"425","명사","001"
"426","명사","001"
"427","명사","001"
"428","명사","001"
"429","명사","001"
"430","명사","001"
"431","명사","001"
"432","명사","001"
"433","명사","001"
"434","명사","001"
"435","명사","001"
"436","명사","001"
"437","명사","001"
"438","동사","001"
"439","명사","001"
"440","명사","001"
"441","명사","001"
"442","명사","001"
"443","명사","001"
"444","품사 없음","001"
"445","동사","001"
"446","명사","001"
"447","명사","001"
"448","명사","001"
"449","명사","002"
"450","명사","001"
"451","동사","001"
"452","명사","001"
"453","명사","001"
"454","명사","001"
"455","명사","002"
"456","명사","001"
"457","명사","001"
"458","명사","001"
"459","명사","001"
"460","명사","001"
"461","동사","001"
"462","명사","001"
"463","명사","001"
"464","명사","001"
"465","관형사","001"
"466","명사","007"
"467","명사","004"
"468","명사","005"
"469","명사","006"
"470","명사","003"
"471","명사","001"
"472","명사","002"
"473","품사 없음","001"
"474","품사 없음","001"
"475","품사 없음","001"
"476","품사 없음","001"
"477","품사 없음","001"
"478","품사 없음","001"
"479","품사 없음","001"
"480","품사 없음","001"
"481","품사 없음","001"
"482","품사 없음","001"
"483","품사 없음","001"
"484","품사 없음","002"
"485","품사 없음","001"
"486","품사 없음","002"
"487","품사 없음","001"
"488","품사 없음","002"
"489","명사","001"
"490","형용사","001"
"491","형용사","002"
"492","명사","001"
"493","명사","001"
"494","명사","001"
"495","명사","001"
"496","명사","002"
"497","명사","001"
"498","명사","001"
"499","명사","001"
"500","명사","001"
"501","명사","001"
"502","명사","001"
"503","명사","001"
"504","명사","002"
"505","명사","001"
"506","명사","001"
"507","명사","001"
"508","명사","001"
"509","명사","001"
"510","명사","001"
"511","명사","001"
"512","명사","001"
"513","명사","001"
"514","명사","001"
"515","명사","001"
"516","품사 없음","001"
"517","품사 없음","001"
"518","부사","001"
"519","부사","002"
"520","명사","001"
"521","동사","001"
"522","명사","001"
"523","명사","003"
"524","명사","001"
"525","명사","002"
"526","명사","001"
"527","명사","001"
"528","명사","001"
"529","품사 없음","001"
"530","명사","001"
"531","명사","002"
"532","명사","001"
"533","품사 없음","001"
"534","품사 없음","001"
"535","품사 없음","001"
"536","명사","001"
"537","명사","001"
"538","동사","001"
"539","명사","001"
"540","명사","001"
"541","명사","002"
"542","명사","001"
"543","동사","001"
"544","명사","001"
"545","명사","001"
"546","명사","001"
"547","명사","001"
"548","부사","002"
"549","명사","001"
"550","품사 없음","001"
"551","품사 없음","001"
"552","명사","001"
"553","명사","001"
"554","명사","001"
"555","명사","001"
"556","명사","001"
"557","명사","001"
"558","형용사","001"
"559","명사","001"
"560","품사 없음","001"
"561","품사 없음","001"
"562","품사 없음","001"
"563","명사","001"
"564","명사","001"
"565","명사","001"
"566","명사","001"
"567","명사","001"
"568","명사","001"
"569","명사","001"
"570","명사","001"
"571","품사 없음","001"
"572","품사 없음","001"
"573","명사","001"
"574","명사","001"
"575","명사","001"
"576","명사","001"
"577","명사","001"
"578","명사","001"
"579","형용사","001"
"580","명사","001"
"581","명사","001"
"582","명사","001"
"583","명사","001"
"584","명사","001"
"585","명사","001"
"586","명사","001"
"587","명사","001"
"588","명사","001"
"589","동사","001"
"590","명사","001"
"591","명사","001"
"592","명사","003"
"593","명사","004"
"594","명사","001"
"595","명사","002"
"596","명사","001"
"597","명사","001"
"598","품사 없음","001"
"599","명사","001"
"600","명사","001"
"601","동사","001"
"602","명사","001"
"603","명사","001"
"604","명사","001"
"605","명사","001"
"606","명사","002"
"607","명사","001"
"608","품사 없음","001"
"609","품사 없음","002"
"610","명사","001"
"611","명사","001"
"612","명사","001"
"613","명사","001"
"614","명사","001"
"615","명사","001"
"616","명사","001"
"617","품사 없음","001"
"618","품사 없음","001"
"619","품사 없음","001"
"620","품사 없음","001"
"621","품사 없음","001"
"622","품사 없음","001"
"623","품사 없음","001"
"624","품사 없음","002"
"625","품사 없음","001"
"626","품사 없음","001"
"627","품사 없음","001"
"628","품사 없음","001"
"629","명사","001"
"630","명사","001"
"631","명사","001"
"632","명사","001"
"633","명사","001"
"634","명사","001"
"635","명사","002"
"636","명사","001"
"637","명사","001"
"638","명사","001"
"639","명사","001"
"640","명사","002"
"641","동사","001"
"642","명사","001"
"643","명사","001"
"644","명사","001"
"645","동사","001"
"646","동사","002"
"647","품사 없음","002"
"648","품사 없음","001"
"649","품사 없음","001"
"650","명사","001"
"651","명사","001"
"652","명사","001"
"653","명사","001"
"654","명사","001"
"655","명사","001"
"656","명사","001"
"657","부사","001"
"658","명사","001"
"659","명사","001"
"660","동사","001"
"661","동사","001"
"662","동사","001"
"663","명사","001"
"664","명사","001"
"665","명사","003"
"666","명사","004"
"667","명사","001"
"668","명사","002"
"669","명사","002"
"670","명사","001"
"671","동사","003"
"672","동사","001"
"673","동사","002"
"674","명사","001"
"675","명사","001"
"676","품사 없음","001"
"677","명사","001"
"678","명사","001"
"679","명사","001"
"680","명사","001"
"681","명사","001"
"682","동사","001"
"683","명사","001"
"684","명사","001"
"685","명사","001"
"686","명사","001"
"687","명사","001"
"688","명사","001"
"689","명사","001"
"690","명사","001"
"691","명사","001"
"692","명사","001"
"693","명사","001"
"694","명사","001"
"695","명사","001"
"696","명사","001"
"697","명사","002"
"698","명사","001"
"699","품사 없음","001"
"700","명사","001"
"701","명사","002"
"702","명사","001"
"703","명사","001"
"704","명사","001"
"705","명사","001"
"706","명사","002"
"707","명사","001"
"708","명사","001"
"709","명사","001"
"710","명사","003"
"711","명사","001"
"712","명사","002"
"713","명사","001"
"714","명사","001"
"715","명사","001"
"716","명사","001"
"717","명사","001"
"718","명사","001"
"719","동사","001"
"720","동사","001"
"721","품사 없음","001"
"722","명사","001"
"723","동사","001"
"724","품사 없음","001"
"725","품사 없음","001"
"726","품사 없음","001"
"727","품사 없음","001"
"728","명사","001"
"729","명사","002"
"730","명사","001"
"731","명사","001"
"732","명사","002"
"733","명사","001"
"734","품사 없음","001"
"735","품사 없음","001"
