127.0.0.1 - - [04/Jan/2020:09:15:16 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:16:35 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:16:35 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:20:04 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:26:19 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:40:35 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:41:50 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:41:51 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:42:46 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:42:47 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:44:00 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:44:01 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:44:01 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:44:50 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:44:52 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:46:09 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:46:09 +0900] "GET /edu/htmlexam/AK-47.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:46:34 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:46:34 +0900] "GET /edu/images/AK-47.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:09:47:27 +0900] "GET /edu/htmlexam/exam4.html HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:26:48 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:28:48 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:29:30 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:31:01 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:33:08 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:33:09 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:07 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:08 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:09 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:27 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:28 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:37 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:38 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:37:39 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:38:54 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:16 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:16 +0900] "GET /edu/images/totoro.png HTTP/1.1" 200 408824
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:39 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:39 +0900] "GET /edu/edu/images/totoro.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:40 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:40 +0900] "GET /edu/edu/images/totoro.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:47 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:47 +0900] "GET /edu/edu/images/totoro.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:48 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:48 +0900] "GET /edu/edu/images/totoro.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:48 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:51:48 +0900] "GET /edu/edu/images/totoro.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:52:01 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:52:34 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:52:34 +0900] "GET /edu/edu/images/totoro.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:10:53:11 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:03:58 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:06:43 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:14:25 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:17:35 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:17:37 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:17:51 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:17:58 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:25:33 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:29:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:30:32 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:31:01 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:33:21 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:33:24 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:33:44 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:33:50 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:34:20 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:34:26 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:35:23 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:37:37 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:20 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:31 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:34 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:34 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:34 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:55 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:56 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:39:56 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:40:24 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:40:25 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:40:25 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:40:25 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:40:26 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:11:40:35 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:09:06 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:09:34 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:09:44 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:11:26 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:11:37 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:29:13 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:29:14 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:29:33 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:30:10 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:30:11 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:35:04 +0900] "GET /edu/cssexam/exam3.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:37:11 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:38:09 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:40:26 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:41:34 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:41:57 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:42:13 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:46:18 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:46:31 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [04/Jan/2020:13:47:32 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:14:32 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:14:32 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:16:07 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:17:18 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:17:33 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:17:51 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:18:18 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:18:40 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:18:41 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:18:51 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:21:11 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:23:15 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [04/Jan/2020:14:23:17 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 304 -
