127.0.0.1 - - [10/Jan/2020:09:20:08 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:20:08 +0900] "GET /edu/jsexam/bom/exam2.html HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:20:08 +0900] "GET /edu/jsexam/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:20:08 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:20:10 +0900] "GET /edu/jsexam/bom/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:20:11 +0900] "GET /edu/jsexam/bom/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:20:11 +0900] "GET /edu/jsexam/bom/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:46:17 +0900] "GET /edu/jsexam/exercise10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:46:24 +0900] "GET /edu/jsexam/dom/exam3.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:46:24 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:48:02 +0900] "GET /edu/jsexam/dom/exam3.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:11:43 +0900] "GET /edu/jsexam/dom/exam4.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:55 +0900] "GET /edu/jsexam/dom/exam4_2.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:17:42 +0900] "GET /edu/jsexam/dom/exam4_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:18:22 +0900] "GET /edu/jsexam/dom/exam4_1.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:28:15 +0900] "GET /edu/jsexam/dom/exam5.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:30:46 +0900] "GET /edu/jsexam/dom/exam5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:30:47 +0900] "GET /edu/jsexam/dom/exam5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:32:53 +0900] "GET /edu/jsexam/dom/exam5.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:32:54 +0900] "GET /edu/jsexam/dom/exam5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:32:54 +0900] "GET /edu/jsexam/dom/exam5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:33:22 +0900] "GET /edu/jsexam/dom/exam5_1.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:34:16 +0900] "GET /edu/jsexam/dom/exam5_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:34:17 +0900] "GET /edu/jsexam/dom/exam5_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:13:14 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:13:32 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:13:57 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:15:35 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:18:33 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:18:56 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:19:58 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:20:11 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:20:52 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:23:44 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:24:18 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:25:12 +0900] "GET /edu/jsexam/exercise11.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:36:57 +0900] "GET /edu/jsexam/exercise11_1.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:37:03 +0900] "GET /edu/jsexam/exercise11_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:37:19 +0900] "GET /edu/jsexam/exercise11_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:37:21 +0900] "GET /edu/jsexam/exercise11_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:37:57 +0900] "GET /edu/jsexam/exercise11_1.html HTTP/1.1" 200 895
