127.0.0.1 - - [09/Jan/2020:09:21:35 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:21:48 +0900] "GET /edu/jsexam/exercise1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:21:48 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:21:54 +0900] "GET /edu/jsexam/exam23.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:21:54 +0900] "GET /edu/jsexam/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:21:54 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:23:17 +0900] "GET /edu/jsexam/exam23.html HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:37:40 +0900] "GET /edu/jsexam/exam24.html HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:39:40 +0900] "GET /edu/jsexam/exam24.html HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:40:16 +0900] "GET /edu/jsexam/exam24.html HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:40:17 +0900] "GET /edu/jsexam/exam24.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:40:17 +0900] "GET /edu/jsexam/exam24.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2020:10:10:07 +0900] "GET /edu/jsexam/NewFile.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [09/Jan/2020:10:30:50 +0900] "GET /edu/jsexam/exam25.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [09/Jan/2020:10:31:45 +0900] "GET /edu/jsexam/exam25.html HTTP/1.1" 200 943
