127.0.0.1 - - [15/Jan/2020:09:07:28 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:09:52 +0900] "GET /edu/jsexam/exercise10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:01 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:01 +0900] "GET /edu/jsexam/dndexam/dragdrop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:01 +0900] "GET /edu/jsexam/dndexam/monster1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:01 +0900] "GET /edu/jsexam/dndexam/monster3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:01 +0900] "GET /edu/jsexam/dndexam/monster4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:01 +0900] "GET /edu/jsexam/dndexam/monster2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:10:02 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:11:03 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:11:39 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:11:40 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:11:40 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:11:40 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:23:39 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:23:39 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:24:28 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:58:11 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:58:32 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:02:30 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3471
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:41 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:15:49 +0900] "GET /edu/jsexam/dndexam/mycard.html HTTP/1.1" 200 3469
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:32:13 +0900] "GET /edu/jsexam/ajaxexam/exam1.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:32:30 +0900] "GET /edu/jsexam/ajaxexam/content/exam1.html HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:32:52 +0900] "GET /edu/jsexam/ajaxexam/exam1.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:09 +0900] "GET /edu/ajaxexam/exam1.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:09 +0900] "GET /edu/images/totoro.png HTTP/1.1" 200 408824
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:30 +0900] "GET /edu/ajaxexam/exam1.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:30 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:34 +0900] "GET /edu/ajaxexam/content/sample.txt HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:53 +0900] "GET /edu/ajaxexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:53 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:54 +0900] "GET /edu/ajaxexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:33:54 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:34:42 +0900] "GET /edu/ajaxexam/content/sample.txt HTTP/1.1" 304 -
