127.0.0.1 - - [07/Jan/2020:09:43:22 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:43:26 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:43:26 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:47:38 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:48:22 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:08 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:17 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:18 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:18 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:19 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:19 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:24 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:25 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:32 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:33 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:33 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:33 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:11:33 +0900] "GET /edu/jsexam/exam2.html HTTP/1.1" 304 -
